Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
22,4,AERO NOMAD,536,565,0.00,19.52
23,1,AERO NOMAD,1032,1597,0.00,21.37
23,2,AERO NOMAD,4257,1422,0.12,45.04
23,3,AERO NOMAD,2851,4846,0.00,20.14
23,4,AERO NOMAD,1165,1195,0.00,17.04
24,1,AERO NOMAD,1371,1233,1.15,9.90
24,2,AERO NOMAD,4741,1036,0.00,41.87
15,1,AEROFLOT,15213,19039,47.33,937.70
15,2,AEROFLOT,14189,19447,45.99,1022.85
15,3,AEROFLOT,16208,17586,30.48,627.91
15,4,AEROFLOT,20204,17051,27.96,438.91
16,1,AEROFLOT,18419,22049,244.11,400.10
16,2,AEROFLOT,18835,23068,28.13,255.08
16,3,AEROFLOT,23734,22647,27.16,218.83
16,4,AEROFLOT,35350,29555,38.62,425.56
17,1,AEROFLOT,32204,39610,37.17,1098.32
17,2,AEROFLOT,30329,37473,86.32,1666.73
17,3,AEROFLOT,36487,36732,86.05,1848.00
17,4,AEROFLOT,42274,36743,116.98,1819.59
18,1,AEROFLOT,36155,43241,108.73,1538.48
18,2,AEROFLOT,29953,37684,102.07,1616.75
18,3,AEROFLOT,37350,38966,89.54,1376.24
18,4,AEROFLOT,43922,36427,83.72,860.14
19,1,AEROFLOT,36225,45062,97.76,767.80
19,2,AEROFLOT,39385,48794,145.66,1166.98
19,3,AEROFLOT,58943,61344,483.52,1057.30
19,4,AEROFLOT,43190,37909,175.98,715.23
20,1,AEROFLOT,25050,30666,106.26,363.34
20,2,AEROFLOT,364,1034,0.00,28.95
20,3,AEROFLOT,16,321,9.73,123.07
20,4,AEROFLOT,259,164,11.20,223.66
21,1,AEROFLOT,2715,3535,27.08,148.59
21,2,AEROFLOT,4030,6888,124.49,295.00
21,3,AEROFLOT,6833,8503,47.19,361.92
21,4,AEROFLOT,8495,8878,96.15,445.51
22,1,AEROFLOT,5552,6337,54.06,307.88
22,2,AEROFLOT,4458,4349,38.57,166.91
22,3,AEROFLOT,11881,11872,101.09,487.67
22,4,AEROFLOT,16826,14155,112.70,678.17
23,1,AEROFLOT,17934,18786,115.19,788.35
23,2,AEROFLOT,18127,21335,198.74,789.88
23,3,AEROFLOT,15168,22261,125.19,535.86
23,4,AEROFLOT,40205,35956,116.62,1108.94
24,1,AEROFLOT,38609,41653,86.99,1452.10
24,2,AEROFLOT,20803,25733,162.33,984.92
15,1,AEROLOGIC,0,0,5.31,4.70
15,2,AEROLOGIC,0,0,3.21,3.00
15,3,AEROLOGIC,0,0,5.53,5.22
15,4,AEROLOGIC,0,0,5.53,4.52
16,1,AEROLOGIC,0,0,9.90,10.82
16,2,AEROLOGIC,0,0,10.86,9.97
16,3,AEROLOGIC,0,0,9.90,488.80
16,4,AEROLOGIC,0,0,10.87,10.45
17,1,AEROLOGIC,0,0,10.25,11.79
17,2,AEROLOGIC,0,0,10.75,10.35
17,3,AEROLOGIC,0,0,11.14,11.13
17,4,AEROLOGIC,0,0,10.47,253.19
18,1,AEROLOGIC,0,0,10.14,10.60
18,2,AEROLOGIC,0,0,9.97,10.36
18,3,AEROLOGIC,0,0,3932.42,3851.13
18,4,AEROLOGIC,0,0,5559.46,5497.91
19,1,AEROLOGIC,0,0,9951.81,10707.52
19,2,AEROLOGIC,0,0,6999.29,6536.81
19,4,AEROLOGIC,0,0,14216.73,4393.15
20,1,AEROLOGIC,0,0,7673.92,12990.32
20,2,AEROLOGIC,0,0,10717.37,10403.13
20,3,AEROLOGIC,0,0,21294.94,22205.88
20,4,AEROLOGIC,0,0,22144.04,23069.18
21,1,AEROLOGIC,0,0,25450.89,26214.07
21,2,AEROLOGIC,0,0,21566.21,22189.50
21,3,AEROLOGIC,0,0,21534.67,23269.25
21,4,AEROLOGIC,0,0,22136.57,21955.26
22,1,AEROLOGIC,0,0,24280.60,25297.01
22,2,AEROLOGIC,0,0,29927.13,28806.78
22,3,AEROLOGIC,0,0,27505.15,24731.08
22,4,AEROLOGIC,0,0,27840.24,24813.59
23,1,AEROLOGIC,0,0,23495.42,22566.68
23,2,AEROLOGIC,0,0,20248.21,22379.87
23,3,AEROLOGIC,0,0,16358.63,18901.08
23,4,AEROLOGIC,0,0,16545.40,18912.11
24,1,AEROLOGIC,0,0,17406.67,19390.88
24,2,AEROLOGIC,0,0,17844.17,21047.46
15,1,AIR ARABIA,211138,228547,489.74,3240.11
15,2,AIR ARABIA,219969,227458,419.17,3495.30
15,3,AIR ARABIA,210639,220116,200.43,3367.95
15,4,AIR ARABIA,226080,228466,239.67,3182.51
16,1,AIR ARABIA,228151,235988,288.00,3354.70
